id,question,option1,option2,option3,answer
1,I usually ______ up at 7 o'clock.,get,getting,gets,1
2,Look! The bird is ______ in the sky.,fly,flying,flew,2
3,______ is your name?,Who,What,Where,2
4,______ do you live?,When,What,Where,3
5,Yesterday, I ______ to the park.,go,goes,went,3
6,She ______ like apples.,don't,doesn't,isn't,2
7,They ______ playing football now.,is,am,are,3
8,There is ______ apple on the table.,a,an,two,2
9,Choose the odd one out (選出不同類的詞).,Red,Blue,Table,3
10,What is the opposite of "Hot"?,Cold,Warm,Big,1
11,My father's brother is my ______.,aunt,uncle,cousin,2
12,Can I have ______ water, please?,some,a,many,1
13,How ______ books are there?,much,many,old,2
14,Choose the correct spelling.,Techer,Teacher,Taecher,2
15,The cat is ______ the table. (Under),in,on,under,3
16,Response: "How are you?",I am seven.,I am fine, thank you.,I am a boy.,2
17,A dog has four ______.,leg,legs,leggs,2
18,I am hungry. I want to ______.,sleep,drink,eat,3
19,He is ______ (tall) than his brother.,taller,tallest,more tall,1
20,What time ______ it?,is,am,are,1
21,Response: "Nice to meet you.",Good bye.,Nice to meet you, too.,You're welcome.,2
22,Does she ______ a brother?,has,have,having,2
23,Choose the odd one out.,Car,Bus,Banana,3
24,We go to school ______ bus.,in,on,by,3
25,______ old are you?,How,Who,What,1
26,Is this ______ bag?,you,your,yours,2
27,The sun is ______ (color).,yellow,blue,green,1
28,Response: "Thank you very much.",No thank you.,You're welcome.,Yes please.,2
29,______ is she? She is my sister.,What,Who,Which,2
30,I have two ______.,foot,foots,feet,3
31,It is raining. Take your ______.,sunglasses,umbrella,coat,2
32,Fish live in the ______.,sky,water,tree,2
33,What is the past tense of "do"?,does,did,done,2
34,Choose the correct sentence.,He play football.,He plays football.,He playing football.,2
35,______ you like ice cream?,Are,Do,Is,2
36,The elephant is very ______.,small,big,short,2
37,My mother is a doctor. She works in a ______.,school,hospital,park,2
38,Today is Monday. Tomorrow is ______.,Sunday,Tuesday,Wednesday,2
39,Choose the odd one out.,Eye,Nose,Pencil,3
40,Please listen ______ the teacher.,at,to,with,2
41,Is there ______ milk in the fridge?,any,many,a,1
42,Response: "Happy Birthday!",Thank you!,I am sorry.,Goodbye.,1
43,A baby cat is called a ______.,puppy,kitten,cub,2
44,I ______ watching TV yesterday.,am,was,were,2
45,They ______ (not) happy yesterday.,wasn't,weren't,isn't,2
46,Which animal can fly?,Snake,Bird,Lion,2
47,My birthday is ______ May.,in,on,at,1
48,Please ______ the door.,close,closed,closing,1
49,He ______ his teeth every morning.,brush,brushes,brushing,2
50,Choose the opposite of "Happy".,Sad,Funny,Good,1
51,______ car is this? It's mine.,Who,Whose,Who's,2
52,There are seven days in a ______.,year,month,week,3
53,I like ______ books.,reading,read,reads,1
54,Where ______ you yesterday?,was,were,are,2
55,A rabbit likes to eat ______.,meat,carrots,fish,2
56,______ boys are playing in the park.,This,That,Those,3
57,Can you ______ English?,speak,say,talk,1
58,She is the ______ girl in the class.,tall,taller,tallest,3
59,Choose the odd one out.,January,Monday,March,2
60,The library is a place to ______.,eat,sleep,read,3
61,Response: "Can you help me?",No I don't.,Yes, of course.,I am fine.,2
62,Do not ______ in the classroom.,run,runs,running,1
63,My hands are dirty. I need to ______ them.,watch,wash,wish,2
64,______ bag is heavy.,This,These,Those,1
65,We eat breakfast in the ______.,morning,afternoon,evening,1
66,______ is your favourite colour?,Why,What,Who,2
67,A monkey has a long ______.,ear,tail,nose,2
68,Are they students? Yes, they ______.,do,are,is,2
69,Choose the correct spelling.,Beautifull,Beautiful,Beutiful,2
70,He ______ breakfast at 8:00 am yesterday.,have,has,had,3
71,The sky is ______.,green,blue,yellow,2
72,______ father is a teacher. (He),He,Him,His,3
73,Let's ______ to the cinema.,go,goes,going,1
74,Response: "I am sorry.",Thank you.,That's all right.,Yes please.,2
75,Choose the opposite of "Start".,Go,Finish,Begin,2
76,I go to bed ______ 9 o'clock.,in,on,at,3
77,This is my friend. ______ name is Tom.,Her,His,He,2
78,______ is the weather like?,How,What,Who,2
79,Choose the odd one out.,Winter,Summer,Sunday,3
80,A ______ drives a bus.,teacher,driver,doctor,2
81,Would you like ______ tea?,some,any,a,1
82,It is very hot today. I want to go ______.,swimming,shopping,reading,1
83,Choose the correct sentence.,She don't like pizza.,She doesn't like pizza.,She not like pizza.,2
84,We use a ______ to cut paper.,ruler,scissors,glue,2
85,______ she at home now?,Is,Are,Does,1
86,The mouse is ______ (small) than the elephant.,smaller,small,smallest,1
87,Response: "May I come in?",Yes, you may.,No, thank you.,I don't know.,1
88,Five plus five is ______.,nine,ten,eleven,2
89,Choose the opposite of "Fast".,Slow,Quick,Run,1
90,He is good ______ Math.,in,at,on,2
91,I see with my ______.,ears,eyes,nose,2
92,Did you ______ TV last night?,watch,watched,watching,1
93,______ go to the park.,Let,Let's,Lets,2
94,She is wearing a ______.,book,dress,pen,2
95,Choose the odd one out.,Circle,Square,Apple,3
96,I am afraid ______ spiders.,of,in,at,1
97,Response: "Where is the toilet?",It is over there.,It is 5 o'clock.,Yes it is.,1
98,______ favorite subject is English. (I),My,I,Me,1
99,There are twelve ______ in a year.,days,weeks,months,3
100,We ______ happy to see you.,is,am,are,3
