id,question,option1,option2,option3,answer
1,345 + 178 = ?,513,523,423,2
2,一列火車有 8 節車廂，每節坐 40 人，共可坐多少人？,300人,320人,360人,2
3,720 減去 350 等於多少？,370,330,470,1
4,正方形的邊長是 6 公分，它的「面積」是多少？,24 平方公分,36 平方公分,12 平方公分,2
5,150 分鐘等於幾小時幾分？,1小時50分,2小時30分,2小時10分,2
6,爸爸買了 3 杯珍奶，一杯 55 元，付了 200 元要找回多少？,35元,45元,55元,1
7,下列哪一個分數比 1/2 大？,1/3,1/4,3/4,3
8,除數是 8，商是 6，餘數是 3，被除數是多少？,45,51,48,2
9,時鐘現在是 10:45，再過 30 分鐘是幾點？,11:15,11:05,10:15,1
10,一個長方形長 10cm、寬 5cm，周長是多少？,15cm,30cm,50cm,2
11,630 ÷ 9 = ?,60,70,80,2
12,下列哪一個年份是閏年（有2月29日）？,2023,2024,2025,2
13,8 個 1000、5 個 10、3 個 1 合起來是多少？,8530,8053,8503,2
14,14 x 5 = ?,60,70,80,2
15,一包糖果有 24 顆，平分給 6 位小朋友，每人拿 4 顆，還剩幾顆？,0顆,2顆,4顆,1
16,3 公里 50 公尺 = ? 公尺,3500 m,3050 m,3005 m,2
17,哪個圖形的四個邊一樣長，但沒有直角？,正方形,長方形,菱形,3
18,小明有 500 元，買書花了 280 元，剩下的錢是買書錢的幾倍？,不到 1 倍,剛好 1 倍,超過 1 倍,1
19,下列哪個算式的答案是奇數？,15 + 15,20 + 21,30 + 50,2
20,9000 - 3500 = ?,5500,6500,4500,1
21,12 x 8 = ?,86,96,106,2
22,有餘數的除法中，餘數一定要比除數？,大,小,一樣,2
23,3 公斤 20 公克 = ? 公克,3020 g,3200 g,3002 g,1
24,下列哪一組線條是「互相垂直」的？,兩條鐵軌,十字路口,時鐘的 6 點整,2
25,一箱蘋果重 15 公斤，箱子重 1 公斤，蘋果淨重多少？,16 公斤,15 公斤,14 公斤,3
26,405 x 3 = ?,1205,1215,1250,2
27,從上午 8 點到下午 2 點，經過了幾小時？,4小時,6小時,8小時,2
28,甲數是 150，乙數比甲數少 35，乙數是多少？,115,125,185,1
29,96 ÷ 3 = ?,30,31,32,3
30,下列哪個分數最小？,2/5,2/7,2/9,3
31,一條繩子對折再對折後長 20 公分，原本多長？,40 公分,60 公分,80 公分,3
32,25 + 25 + 25 + 25 = 25 x ?,4,5,25,1
33,公車票一張 15 元，買 6 張要付多少錢？,80元,90元,100元,2
34,正午 12 點，時針和分針的角度是幾度？,90度,180度,0度 (重疊),3
35,4000 公克 = ? 公斤,4 kg,40 kg,400 kg,1
36,三角形的三個角加起來是多少度？,90度,180度,360度,2
37,16 x 4 = ?,48,64,72,2
38,下列哪個東西最接近 1 公斤？,一顆乒乓球,一本書,一袋米(小包),3
39,15 點 45 分換算成 12 小時制是？,下午 5 點 45 分,下午 3 點 45 分,上午 3 點 45 分,2
40,一盒雞蛋 10 顆，媽媽買了 3 盒又 5 顆，共有幾顆？,30顆,35顆,45顆,2
41,哪個數字在 8053 的「百位」？,8,0,5,2
42,999 + 101 = ?,1000,1100,1010,2
43,一瓶牛奶 2 公升，喝掉 500 毫升，還剩多少？,1500 ml,2500 ml,1.5 ml,1
44,84 ÷ 4 = ?,21,22,24,1
45,比 2000 少 10 的數是多少？,1900,1990,1999,2
46,一個圓形對折一次會變成什麼形狀？,半圓形,扇形,三角形,1
47,4 分鐘 20 秒等於幾秒？,240秒,260秒,420秒,2
48,哥哥有 100 元，給弟弟 20 元後，兩人的錢就一樣多，弟弟原本有多少錢？,60元,80元,40元,1
49,3/8 和 5/8 加起來是多少？,8/8 (等於1),2/8,15/8,1
50,由「5、9、0」組成的最小三位數是？,059,509,590,2
51,0 除以任何數 (0除外) 等於？,0,1,無限大,1
52,電影 14:00 開始，片長 1 小時 30 分，幾點結束？,15:00,15:30,16:30,2
53,操場一圈 200 公尺，跑 5 圈是幾公里？,1 公里,10 公里,1000 公里,1
54,等腰三角形有幾個邊一樣長？,3個,2個,0個,2
55,75 ÷ 5 = ?,13,15,17,2
56,一打鉛筆有 12 枝，5 打有幾枝？,50枝,60枝,72枝,2
57,5005 g = ? kg ? g,5kg 5g,50kg 5g,5kg 500g,1
58,200 - (50 + 50) = ?,100,150,50,1
59,數字「一萬」有幾個 0？,3個,4個,5個,2
60,地球自轉一圈大約是多久？,1 小時,12 小時,24 小時,3
61,19 的 3 倍是多少？,37,47,57,3
62,一個正方形周長是 20 公分，邊長是多少？,4 公分,5 公分,10 公分,2
63,1/3 + 1/3 = ?,2/6,2/3,1,2
64,教室地板鋪磁磚，需要計算的是？,周長,面積,體積,2
65,48 個小朋友分組，每 6 人一組，可以分幾組？,6組,7組,8組,3
66,哪個算式的答案最大？,50 x 2,50 + 50,50 x 3,3
67,一瓶可樂 1.25 公升，是幾毫升？,125 ml,1250 ml,1025 ml,2
68,567 - 234 = ?,333,323,343,1
69,現在是 10 點，時針和分針夾幾度角？(大概),30度,60度,90度,2
70,25 x 4 + 25 = ?,100,125,150,2
71,下列哪一個是「銳角」？,100度,90度,45度,3
72,馬拉松全長約 42 (什麼單位)？,公尺,公里,公分,2
73,一塊蛋糕切 4 等份，吃了 3 份，剩多少？,1/4,3/4,1/2,1
74,90 ÷ 6 = ?,13,15,16,2
75,一套書 5 本賣 500 元，一本多少錢？,50元,100元,125元,2
76,下列哪個數能被 3 整除？,14,26,39,3
77,一天中，時針會轉幾圈？,1圈,2圈,24圈,2
78,100 毫米 (mm) 等於多少公分 (cm)？,1 cm,10 cm,100 cm,2
79,8 + 8 x 2 = ?,32,24,18,2
80, (20 + 10) ÷ 5 = ?,4,5,6,3
81,找規律：1, 4, 9, 16, (?),20,24,25,3
82,一包米重 2.5 公斤，兩包重多少？,500 公克,5 公斤,50 公斤,2
83,長 10cm、寬 4cm 的長方形，面積是多少？,28 平方公分,40 平方公分,14 平方公分,2
84,閏年一年有幾天？,364天,365天,366天,3
85,200 ÷ 5 = ?,20,40,50,2
86,任何數除以 1 等於？,1,0,原本的數,3
87,把 100 顆糖果分給 20 人，每人拿幾顆？,5顆,4顆,10顆,1
88,下列哪一個是「鈍角」？,89度,90度,91度,3
89,3050 的「5」是在什麼位？,千位,百位,十位,3
90,大象重 3 (什麼單位)？,公克,公斤,公噸,3
91,13 x 3 = ?,26,36,39,3
92,找規律：100, 95, 90, 85, (?),84,80,75,2
93,3/4 小時是多少分鐘？,30分鐘,45分鐘,50分鐘,2
94,兩位數乘以一位數，答案可能是？,兩位數,三位數,以上都有可能,3
95,70 ÷ 5 = ?,12,14,16,2
96,101 大樓高約 508 (什麼單位)？,公尺,公分,公里,1
97,小華有 500 元，買了 3 個 100 元的玩具，剩多少？,100元,200元,300元,2
98,最小的四位數是？,1111,1001,1000,3
99,199 + 199 大約等於？,300,400,500,2
100,數學老師帥不帥？(送分題),超帥,普通,不予置評,1
