id,question,option1,option2,option3,answer
1,下列哪一個句子使用了「擬人法」？,小鳥在樹上唱歌。,弟弟像猴子一樣頑皮。,太陽大得像火球。,1
2,「妹妹高興得跳起來。」這句話中「得」字的用法，與下列哪句相同？,跑( )很快,美麗( )花朵,慢慢( )走,1
3,媽媽正在休息，我們做事要輕手輕腳，以免打草驚□。,鳥,蛇,馬,2
4,下列哪一句話「沒有」語病（是通順的）？,我雖然喜歡吃蘋果，但是也喜歡吃香蕉。,因為下雨了，所以地板濕了。,雖然今天天氣很好，所以我們要去郊遊。,2
5,如果你想形容「圖書館裡非常安靜」，哪一個成語最適合？,鴉雀無聲,人山人海,七嘴八舌,1
6,「農夫把秧苗拔高，希望能長快點。」這是在說哪個成語的故事？,守株待兔,拔苗助長,畫蛇添足,2
7,找出不同類的詞語（哪個不是描寫心情的？）。,興高采烈,垂頭喪氣,五顏六色,3
8,下列哪一組詞語的意思是「相反」的？,巨大／微小,美麗／漂亮,快樂／高興,1
9,「這顆西瓜大得像一顆籃球。」這句話運用了什麼修辭？,擬人法,譬喻法,排比法,2
10,小明說話總是「前後矛盾」，意思是？,他說話很大聲。,他說的話前言不對後語。,他說話很有道理。,2
11,下列哪一句的標點符號使用正確？,媽媽說：「吃飯了！ 」,媽媽說：「吃飯了！ 」,媽媽說，『吃飯了！ 』,1
12,「秋天到了，樹葉像蝴蝶一樣飄落。」這句話描寫的是什麼季節？,春,夏,秋,3
13,「我們要□□時間，不要整天玩遊戲。」空格應填入？,愛惜,可惜,痛惜,1
14,選出沒有錯別字的詞語。,再接再厲,再接再勵,在接在厲,1
15,「雖然他生病了，□□他還是準時上學。」空格應填入？,所以,但是,因為,2
16,「小心翼翼」可以用來形容下列哪種情況？,端著滿滿的熱湯時,在大操場跑步時,看到好朋友時,1
17,下列哪個字的意思與「看」無關？,瞧,眺,聽,3
18,「欲窮千里目，更上一層樓。」這句詩告訴我們什麼道理？,站得高才看得遠,眼睛要張大一點,樓梯很難爬,1
19,「他急得像熱鍋上的螞蟻。」這句話形容他怎樣？,很熱,很著急,很開心,2
20,下列哪個句子是在描寫「夏天」？,荷花盛開，蟬聲鳴叫。,雪花飄飄，北風呼呼。,楓葉紅了，菊花開了。,1
21,請選出正確的用字：「這位老師教導學生非常嚴□。」,格,隔,各,1
22,「一寸光陰一寸金」是用來比喻什麼很寶貴？,黃金,時間,土地,2
23,下列哪一個詞語的結構是「動詞+名詞」？（例如：唱歌）,美麗,讀書,快樂,2
24,「這件事情易如反掌。」意思是這件事？,很困難,很容易,很危險,2
25,下列哪句話是「疑問句」？,今天天氣真好啊！,請你幫我拿筆。,你今天有帶功課嗎？,3
26,「他做壞事被抓到，真是自作自□。」空格應填入？,受,售,獸,1
27,選出量詞使用錯誤的句子。,一條小狗,一頭大象,一隻白雲,3
